,IXIC,RUA,VIX,DJI,GSPC,RUT,BTCUSDT,LTCUSDT,XRPUSDT,ETHUSDT
2017-08-17,6221.910156,1434.040039,15.55,21750.730469,2430.01001,1358.939941,4285.08,,,302.0
2017-08-18,6216.529785,1431.52002,14.26,21674.509766,2425.550049,1357.790039,4108.37,,,293.96
2017-08-19,6215.396484333332,1431.980021333333,13.903333333333332,21684.256510666666,2426.4900716666666,1357.4933673333333,4139.98,,,290.91
2017-08-20,6214.263183666666,1432.440022666667,13.546666666666667,21694.003255333333,2427.4300943333333,1357.1966956666668,4086.29,,,299.1
2017-08-21,6213.129883,1432.900024,13.19,21703.75,2428.3701170000004,1356.900024,4016.0,,,323.29
2017-08-22,6297.47998,1447.209961,11.35,21899.890625,2452.51001,1371.540039,4040.0,,,309.8
2017-08-23,6278.410156,1442.849976,12.25,21812.089844,2444.040039,1369.73999,4114.01,,,315.74
2017-08-24,6271.330078,1440.790039,12.23,21783.400391,2438.969971,1373.880005,4316.01,,,323.42
2017-08-25,6265.6401369999985,1443.359985,11.28,21813.669922,2443.050049,1377.449951,4280.68,,,327.24
2017-08-26,6271.433431333333,1443.6366369999998,11.293333333333333,21811.91341166667,2443.446696,1379.043294,4337.44,,,330.79
2017-08-27,6277.226725666666,1443.913289,11.306666666666667,21810.15690133333,2443.843343,1380.6366369999998,4310.01,,,348.13
2017-08-28,6283.02002,1444.189941,11.32,21808.400391,2444.23999,1382.22998,4386.69,,,346.0
2017-08-29,6301.8901369999985,1445.140015,11.7,21865.369141,2446.300049,1383.680054,4587.48,,,374.7
2017-08-30,6368.310059,1452.390015,11.22,21892.429688,2457.590088,1391.319946,4555.14,,,385.93
2017-08-31,6428.660156,1461.810059,10.59,21948.099609,2471.649902,1405.280029,4724.89,,,384.79
2017-09-01,6435.330078,1465.449951,10.13,21987.560547,2476.550049,1413.569946,4834.91,,,388.46
2017-09-02,6420.390014500001,1462.512451,10.655,21928.998047,2471.87506125,1410.092468,4472.14,,,343.14
2017-09-03,6405.449951000001,1459.574951,11.18,21870.435547,2467.2000735,1406.61499,4509.08,,,341.77
2017-09-04,6390.5098875,1456.637451,11.705,21811.873047,2462.52508575,1403.137512,4100.11,,,283.77
